Species	Common.x	Category.x	Common.y	Category.y
Arracacia xanthorrhiza	Arracacha	Domesticated Plant Vegetable	arracacha	Domesticated Plant GRIN Food
Artemisia scoparia	NA	NA	redstem wormwood	Domesticated Plant GRIN Food
Arthropodium cirrhatum	NA	NA	rock-lily	Domesticated Plant GRIN Food
Artocarpus altilis	Breadfruit	Domesticated Plant Fruit	breadfruit	Domesticated Plant GRIN Food
Artocarpus camansi	Breadnut	Domesticated Plant Fruit	NA	Domesticated Plant GRIN Food
Artocarpus elasticus	NA	NA	NA	Domesticated Plant GRIN Food
Artocarpus heterophyllus	Jackfruit	Domesticated Plant Fruit	jackfruit	Domesticated Plant GRIN Food
Artocarpus integer	Cempedak	Domesticated Plant Fruit	chempedak	Domesticated Plant GRIN Food
Artocarpus lacucha	Monkey fruit	Domesticated Plant Fruit	NA	Domesticated Plant GRIN Food
Artocarpus odoratissimus	Terap	Domesticated Plant Fruit	marang	Domesticated Plant GRIN Food
Artocarpus rigidus	Monkey jackfruit	Domesticated Plant Fruit	monkey Jack	Domesticated Plant GRIN Food
Artocarpus sarawakensis	NA	NA	NA	Domesticated Plant GRIN Food
Artocarpus sericicarpus	NA	NA	NA	Domesticated Plant GRIN Food
Artocarpus tonkinensis	NA	NA	NA	Domesticated Plant GRIN Food
Asimina triloba	Pawpaw	Domesticated Plant Fruit	pawpaw	Domesticated Plant GRIN Food
Aspalathus linearis	NA	NA	rooibos	Domesticated Plant GRIN Food
Asparagus acutifolius	NA	NA	NA	Domesticated Plant GRIN Food
Asparagus africanus	NA	NA	African asparagus	Domesticated Plant GRIN Food
Asparagus albus	NA	NA	NA	Domesticated Plant GRIN Food
Asparagus aphyllus	NA	NA	NA	Domesticated Plant GRIN Food
Asparagus maritimus	NA	NA	NA	Domesticated Plant GRIN Food
Asparagus officinalis	Asparagus	Domesticated Plant Vegetable	"c(""asparagus"", ""garden-asparagus"", ""garden asparagus"")"	Domesticated Plant GRIN Food
Aster scaber	NA	NA	NA	Domesticated Plant GRIN Food
Astragalus boeticus	NA	NA	NA	Domesticated Plant GRIN Food
Astragalus brachycalyx	NA	NA	NA	Domesticated Plant GRIN Food
Astrocaryum jauari	NA	NA	NA	Domesticated Plant GRIN Food
Astrocaryum tucuma	NA	NA	NA	Domesticated Plant GRIN Food
Astrocaryum vulgare	NA	NA	NA	Domesticated Plant GRIN Food
Atriplex halimus	NA	NA	saltbush	Domesticated Plant GRIN Food
Atriplex hortensis	Orache	Domesticated Plant Vegetable	"c(""garden orach"", ""garden orache"", ""mountain-spinach"", ""bledos moles"", ""armuelle mole"")"	Domesticated Plant GRIN Food
Attalea amygdalina	NA	NA	NA	Domesticated Plant GRIN Food
Attalea cohune	NA	NA	"c(""cohune palm"", ""Corozo cohune"")"	Domesticated Plant GRIN Food
Attalea colenda	NA	NA	NA	Domesticated Plant GRIN Food
Attalea funifera	NA	NA	Bahia piassaba palm	Domesticated Plant GRIN Food
Attalea maripa	NA	NA	NA	Domesticated Plant GRIN Food
Attalea speciosa	NA	NA	NA	Domesticated Plant GRIN Food
Avena abyssinica	NA	NA	Abyssinian oat	Domesticated Plant GRIN Food
Avena brevis	NA	NA	NA	Domesticated Plant GRIN Food
Avena magna	NA	NA	NA	Domesticated Plant GRIN Food
Avena nuda	NA	NA	naked oat	Domesticated Plant GRIN Food
Avena sativa	NA	NA	"c(""common oat"", ""oat"", ""oats"", ""wild oats"", ""Common oats"", ""oatgrass (common)"")"	Domesticated Plant GRIN Food
Averrhoa bilimbi	Bilimbi	Domesticated Plant Fruit	bilimbi	Domesticated Plant GRIN Food
Averrhoa carambola	Star fruit	Domesticated Plant Fruit	carambola	Domesticated Plant GRIN Food
Baccaurea angulata	NA	NA	NA	Domesticated Plant GRIN Food
Baccaurea macrocarpa	NA	NA	NA	Domesticated Plant GRIN Food
Baccaurea motleyana	NA	NA	rambai	Domesticated Plant GRIN Food
Baccaurea racemosa	Menteng	Domesticated Plant Fruit	menteng	Domesticated Plant GRIN Food
Baccaurea ramiflora	Burmese grape	Domesticated Plant Fruit	NA	Domesticated Plant GRIN Food
Bactris gasipaes	NA	NA	peach palm	Domesticated Plant GRIN Food
Baeckea frutescens	NA	NA	NA	Domesticated Plant GRIN Food
Baillonella toxisperma	NA	NA	djave	Domesticated Plant GRIN Food
Balanites aegyptiaca	NA	NA	desert date	Domesticated Plant GRIN Food
Balanites maughamii	NA	NA	manduro	Domesticated Plant GRIN Food
Bambusa bambos	NA	NA	thorny bamboo	Domesticated Plant GRIN Food
Bambusa beecheyana	NA	NA	Beechey's bamboo	Domesticated Plant GRIN Food
Bambusa blumeana	NA	NA	NA	Domesticated Plant GRIN Food
Bambusa gibboides	NA	NA	NA	Domesticated Plant GRIN Food
Bambusa oldhamii	NA	NA	NA	Domesticated Plant GRIN Food
Bambusa tulda	NA	NA	bamboo	Domesticated Plant GRIN Food
Bambusa tuldoides	NA	NA	puntingpole bamboo	Domesticated Plant GRIN Food
Barbarea verna	Land cress	Domesticated Plant Vegetable	early yellowrocket	Domesticated Plant GRIN Food
Barbarea vulgaris	NA	NA	"c(""yellow rocket"", ""garden yellow rocket"", ""winter cress"", ""garden yellowrocket"")"	Domesticated Plant GRIN Food
Barleria opaca	NA	NA	kwahu	Domesticated Plant GRIN Food
Barringtonia procera	NA	NA	NA	Domesticated Plant GRIN Food
Basella alba	Malabar spinach	Domesticated Plant Vegetable	Ceylon spinach	Domesticated Plant GRIN Food
Bassia scoparia	NA	NA	"c(""burningbush"", ""Mexican fireweed"", ""mock cypress"", ""kochia"")"	Domesticated Plant GRIN Food
Bauhinia petersiana	NA	NA	NA	Domesticated Plant GRIN Food
Begonia cucullata	NA	NA	clubed begonia	Domesticated Plant GRIN Food
Begonia eminii	NA	NA	NA	Domesticated Plant GRIN Food
Bellucia grossularioides	NA	NA	NA	Domesticated Plant GRIN Food
Bellucia pentamera	NA	NA	NA	Domesticated Plant GRIN Food
Benincasa fistulosa	NA	NA	NA	Domesticated Plant GRIN Food
Benincasa hispida	Winter melon	Domesticated Plant Vegetable	waxgourd	Domesticated Plant GRIN Food
Bertholletia excelsa	NA	NA	"c(""Brazil-nut"", ""brazilnut"")"	Domesticated Plant GRIN Food
Beta vulgaris	common beet	Domesticated Plant Student	common beet	Domesticated Plant GRIN Food
Bidens pilosa	NA	NA	"c(""hairy beggarticks"", ""common beggarticks"", ""romerillo"", ""spanish-needles"", ""beggar's ticks"", ""cobbler's pegs"", ""fisi`uli"", ""kofe tonga"", ""matakaro"", ""Spanish needles"")"	Domesticated Plant GRIN Food
Bilacunaria microcarpa	NA	NA	NA	Domesticated Plant GRIN Food
Bischofia polycarpa	NA	NA	NA	Domesticated Plant GRIN Food
Bistorta officinalis	NA	NA	meadow bistort	Domesticated Plant GRIN Food
Blighia sapida	Ackee	Domesticated Plant Fruit	akee	Domesticated Plant GRIN Food
Blitum bonus	NA	NA	NA	Domesticated Plant GRIN Food
Blumea lacera	NA	NA	blumea	Domesticated Plant GRIN Food
Borago officinalis	Borage greens	Domesticated Plant Vegetable	common borage	Domesticated Plant GRIN Food
Borassus aethiopum	NA	NA	palmyra palm	Domesticated Plant GRIN Food
Borassus flabellifer	Doub palm fruit	Domesticated Plant Fruit	toddy palm	Domesticated Plant GRIN Food
Borinda edulis	NA	NA	NA	Domesticated Plant GRIN Food
Boscia senegalensis	NA	NA	Senegal boscia	Domesticated Plant GRIN Food
Boswellia serrata	NA	NA	Indian frankincense	Domesticated Plant GRIN Food
Bouea macrophylla	Maprang	Domesticated Plant Fruit	NA	Domesticated Plant GRIN Food
Bouea oppositifolia	NA	NA	NA	Domesticated Plant GRIN Food
Brahea dulcis	NA	NA	NA	Domesticated Plant GRIN Food
Brasenia schreberi	NA	NA	"c(""Schreber's watershield"", ""watershield"")"	Domesticated Plant GRIN Food
Brassica carinata	NA	NA	Abyssinian mustard	Domesticated Plant GRIN Food
Brassica cretica	NA	NA	mustard	Domesticated Plant GRIN Food
Brassica juncea	NA	NA	"c(""India mustard"", ""Chinese mustard"", ""Indian mustard"")"	Domesticated Plant GRIN Food
Brassica napus	Yao choy (油菜 Yu choy)	Domesticated Plant Vegetable	"c(""turnip"", ""rape"")"	Domesticated Plant GRIN Food
Brassica oleracea	Broccoli (leaves / stalks)	Domesticated Plant Vegetable	cabbage	Domesticated Plant GRIN Food
Brassica rapa	NA	NA	"c(""rape mustard"", ""rape"", ""bird's rape"", ""birdsrape mustard"", ""wild mustard"", ""wild rutabaga"", ""wild turnip"", ""turnip rape"", ""field mustard"")"	Domesticated Plant GRIN Food
Bromus mango	NA	NA	mango brome	Domesticated Plant GRIN Food
Brosimum alicastrum	NA	NA	breadnut	Domesticated Plant GRIN Food
Broussonetia luzonica	NA	NA	NA	Domesticated Plant GRIN Food
Buchanania lanzan	NA	NA	NA	Domesticated Plant GRIN Food
Buchanania latifolia	NA	NA	chirauli nut	Domesticated Plant GRIN Food
Bunchosia armeniaca	NA	NA	NA	Domesticated Plant GRIN Food
Bunchosia nitida	NA	NA	woodland coffee	Domesticated Plant GRIN Food
Bunias orientalis	NA	NA	Turkish wartycabbage	Domesticated Plant GRIN Food
Bunium bulbocastanum	NA	NA	"c(""great pignut"", ""earth-nut"")"	Domesticated Plant GRIN Food
Butia capitata	Jelly palm fruit	Domesticated Plant Fruit	South American jelly palm	Domesticated Plant GRIN Food
Butia eriospatha	NA	NA	NA	Domesticated Plant GRIN Food
Byrsonima crassifolia	Changunga	Domesticated Plant Fruit	maricao cimun	Domesticated Plant GRIN Food
Byrsonima spicata	NA	NA	"c(""doncella"", ""Maricao cimarron"")"	Domesticated Plant GRIN Food
Cadaba farinosa	NA	NA	NA	Domesticated Plant GRIN Food
Cajanus cajan	Pigeon pea	Domesticated Plant Vegetable	pigeonpea	Domesticated Plant GRIN Food
Calamus egregius	NA	NA	NA	Domesticated Plant GRIN Food
Calamus rotang	NA	NA	rattan	Domesticated Plant GRIN Food
Calamus siamensis	NA	NA	NA	Domesticated Plant GRIN Food
Calamus thysanolepis	NA	NA	NA	Domesticated Plant GRIN Food
Calamus viminalis	NA	NA	NA	Domesticated Plant GRIN Food
Caltha palustris	NA	NA	"c(""yellow marsh-marigold"", ""yellow marshmarigold"", ""yellow marsh marigold"")"	Domesticated Plant GRIN Food
Camassia quamash	NA	NA	"c(""common camas"", ""small camas"")"	Domesticated Plant GRIN Food
Camelina sativa	NA	NA	gold-of-pleasure	Domesticated Plant GRIN Food
Camellia grandibracteata	NA	NA	NA	Domesticated Plant GRIN Food
Camellia oleifera	NA	NA	NA	Domesticated Plant GRIN Food
Camellia ptilophylla	NA	NA	NA	Domesticated Plant GRIN Food
Camellia reticulata	NA	NA	to-tsubaki	Domesticated Plant GRIN Food
Camellia sinensis	Tea	Domesticated Plant Other	tea	Domesticated Plant GRIN Food
Camellia taliensis	NA	NA	NA	Domesticated Plant GRIN Food
Campanula rapunculus	NA	NA	NA	Domesticated Plant GRIN Food
Campomanesia adamantium	NA	NA	NA	Domesticated Plant GRIN Food
Campomanesia guazumifolia	NA	NA	NA	Domesticated Plant GRIN Food
Campomanesia lineatifolia	NA	NA	NA	Domesticated Plant GRIN Food
Campomanesia phaea	NA	NA	NA	Domesticated Plant GRIN Food
Canarium album	NA	NA	Chinese white olive	Domesticated Plant GRIN Food
Canarium harveyi	NA	NA	NA	Domesticated Plant GRIN Food
Canarium indicum	NA	NA	Java almond	Domesticated Plant GRIN Food
Canarium madagascariense	NA	NA	NA	Domesticated Plant GRIN Food
Canarium odontophyllum	NA	NA	NA	Domesticated Plant GRIN Food
Canarium ovatum	Pili	Domesticated Plant Fruit	pili nut	Domesticated Plant GRIN Food
Canarium pimela	NA	NA	Chinese black olive	Domesticated Plant GRIN Food
Canarium vulgare	NA	NA	NA	Domesticated Plant GRIN Food
Canavalia ensiformis	NA	NA	"c(""wonderbean"", ""wonder-bean"")"	Domesticated Plant GRIN Food
Canavalia gladiata	NA	NA	sword jackbean	Domesticated Plant GRIN Food
Canavalia lineata	NA	NA	NA	Domesticated Plant GRIN Food
Canna glauca	NA	NA	maraca amarilla	Domesticated Plant GRIN Food
Canna indica	NA	NA	Indian shot	Domesticated Plant GRIN Food
Cannabis sativa	Marijuana	Domesticated Plant Other	"c(""hemp"", ""grass"", ""hashish"", ""Mary Jane"", ""pot"", ""marijuana"")"	Domesticated Plant GRIN Food
Capparis spinosa	Caper	Domesticated Plant Vegetable	caper	Domesticated Plant GRIN Food
Capraria biflora	NA	NA	goatweed	Domesticated Plant GRIN Food
