#Non Wild Species used to filter BioProjects from the INSDC SRA in Crandall et al. Metadata preservation and stewardship for genomic data is possible, but must happen now
#Please see the supplemental materials of Toczydlowski et al. 2021 PNAS for how this list was compiled https://doi.org/10.1073/pnas.2107934118
Species	Common	Category	Source
Pistacia terebinthus	Cyprus turpentine	Domesticated Plant	GRIN Food
Punica granatum	pomegranate	Domesticated Plant	GRIN Food
Pyrus ussuriensis	Chinese pear	Domesticated Plant	GRIN Food
Ribes aureum	golden currant	Domesticated Plant	GRIN Food
Ribes divaricatum	"c(""straggly gooseberry"", ""spreading gooseberry"")"	Domesticated Plant	GRIN Food
Ribes hirtellum	"c(""hairystem gooseberry"", ""hairy-stem gooseberry"")"	Domesticated Plant	GRIN Food
Ribes niveum	"c(""white-flowered gooseberry"", ""snowy gooseberry"", ""snow currant"")"	Domesticated Plant	GRIN Food
Ribes spicatum	currant	Domesticated Plant	GRIN Food
Ribes uva	European gooseberry	Domesticated Plant	GRIN Food
Rosa arkansana	"c(""prairie rose"", ""Arkansas rose"", ""prairie wildrose"", ""wild rose"")"	Domesticated Plant	GRIN Food
Rosa laevigata	Cherokee rose	Domesticated Plant	GRIN Food
Rosa roxburghii	"c(""Chinquapin rose"", ""chestnut rose"")"	Domesticated Plant	GRIN Food
Rosa villosa	apple rose	Domesticated Plant	GRIN Food
Salvia columbariae	chia	Domesticated Plant	GRIN Food
Salvia hispanica	chia	Domesticated Plant	GRIN Food
Salvia potus	chia	Domesticated Plant	GRIN Food
Tamarindus indica	tamarind	Domesticated Plant	GRIN Food
Vaccinium vitis	"c(""lingonberry"", ""northern mountain cranberry"")"	Domesticated Plant	GRIN Food
Zizania palustris	northern wildrice	Domesticated Plant	GRIN Food
Ziziphus mauritiana	Indian jujube	Domesticated Plant	GRIN Food
Agrostis canina	velvet bentgrass	Domesticated Plant	GRIN Lawn
Agrostis capillaris	"c(""colonial bentgrass"", ""colonial bent"")"	Domesticated Plant	GRIN Lawn
Agrostis castellana	bentgrass	Domesticated Plant	GRIN Lawn
Agrostis gigantea	"c(""redtop"", ""black bent"", ""water bentgrass"")"	Domesticated Plant	GRIN Lawn
Agrostis idahoensis	"c(""Idaho bentgrass"", ""Idaho redtop"")"	Domesticated Plant	GRIN Lawn
Agrostis nebulosa	cloud bentgrass	Domesticated Plant	GRIN Lawn
Agrostis stolonifera	"c(""creeping bentgrass"", ""carpet bentgrass"", ""spreading bent"", ""creeping bent"", ""redtop"", ""redtop bent"", ""seaside bentgrass"")"	Domesticated Plant	GRIN Lawn
Axonopus compressus	broadleaf carpetgrass	Domesticated Plant	GRIN Lawn
