Species	Common	Category
Acanthamoeba lenticulata	NA	Human Pathogen VEuPathDB
Acanthamoeba lugdunensis	NA	Human Pathogen VEuPathDB
Anopheles maculatus	NA	Human Pathogen VEuPathDB
Acanthamoeba mauritaniensis	NA	Human Pathogen VEuPathDB
Anopheles melas	NA	Human Pathogen VEuPathDB
Anopheles merus	NA	Human Pathogen VEuPathDB
Anopheles minimus	NA	Human Pathogen VEuPathDB
Amauroascus mutatus	NA	Human Pathogen VEuPathDB
Amauroascus niger	NA	Human Pathogen VEuPathDB
Acanthamoeba palestinensis	NA	Human Pathogen VEuPathDB
Anopheles quadriannulatus	NA	Human Pathogen VEuPathDB
Acanthamoeba quina	NA	Human Pathogen VEuPathDB
Acanthamoeba rhysodes	NA	Human Pathogen VEuPathDB
Anopheles sinensis	NA	Human Pathogen VEuPathDB
Anopheles stephensi	Asian malaria mosquito	Human Pathogen VEuPathDB
Acanthamoeba triangularis	NA	Human Pathogen VEuPathDB
Blechomonas ayalai	NA	Human Pathogen VEuPathDB
Besnoitia besnoiti	NA	Human Pathogen VEuPathDB
Babesia bigemina	NA	Human Pathogen VEuPathDB
Byssoonygena ceratinophila	NA	Human Pathogen VEuPathDB
Babesia divergens	NA	Human Pathogen VEuPathDB
Biomphalaria glabrata	NA	Human Pathogen VEuPathDB
Babesia ovata	NA	Human Pathogen VEuPathDB
Bodo saltans	NA	Human Pathogen VEuPathDB
Babesia sp. Xinjiang	NA	Human Pathogen VEuPathDB
Bos taurus	cattle	Human Pathogen VEuPathDB
Cryptosporidium andersoni	NA	Human Pathogen VEuPathDB
Candida auris	NA	Human Pathogen VEuPathDB
Cryptosporidium baileyi	NA	Human Pathogen VEuPathDB
Cladophialophora carrionii	NA	Human Pathogen VEuPathDB
Cyclospora cayetanensis	NA	Human Pathogen VEuPathDB
Candida duobushaemulonis	NA	Human Pathogen VEuPathDB
Crithidia fasciculata	NA	Human Pathogen VEuPathDB
Cytauxzoon felis	NA	Human Pathogen VEuPathDB
Candida haemulonis	NA	Human Pathogen VEuPathDB
Cladophialophora immunda	NA	Human Pathogen VEuPathDB
Cimex lectularius	bed bug	Human Pathogen VEuPathDB
Cryptosporidium meleagridis	NA	Human Pathogen VEuPathDB
Chrysosporium queenslandicum	NA	Human Pathogen VEuPathDB
Culex quinquefasciatus	southern house mosquito	Human Pathogen VEuPathDB
Cystoisospora suis	NA	Human Pathogen VEuPathDB
Cryptosporidium tyzzeri	NA	Human Pathogen VEuPathDB
Cryptosporidium ubiquitum	NA	Human Pathogen VEuPathDB
Eimeria acervulina	NA	Human Pathogen VEuPathDB
Eimeria brunetti	NA	Human Pathogen VEuPathDB
Enterospora canceri	NA	Human Pathogen VEuPathDB
Eimeria falciformis	NA	Human Pathogen VEuPathDB
Enterocytozoon hepatopenaei	NA	Human Pathogen VEuPathDB
Eimeria maxima	NA	Human Pathogen VEuPathDB
Exophiala mesophila	NA	Human Pathogen VEuPathDB
Eimeria mitis	NA	Human Pathogen VEuPathDB
Endotrypanum monterogeii	NA	Human Pathogen VEuPathDB
Entamoeba moshkovskii	NA	Human Pathogen VEuPathDB
Eimeria necatrix	NA	Human Pathogen VEuPathDB
Exophiala oligosperma	NA	Human Pathogen VEuPathDB
Eimeria praecox	NA	Human Pathogen VEuPathDB
Glossina austeni	NA	Human Pathogen VEuPathDB
Glossina brevipalpis	NA	Human Pathogen VEuPathDB
Glossina fuscipes	NA	Human Pathogen VEuPathDB
Glossina morsitans	NA	Human Pathogen VEuPathDB
Giardia muris	NA	Human Pathogen VEuPathDB
Gregarina niphandrodes	NA	Human Pathogen VEuPathDB
Glossina pallidipes	NA	Human Pathogen VEuPathDB
Glossina palpalis	NA	Human Pathogen VEuPathDB
Hepatospora eriocheir	NA	Human Pathogen VEuPathDB
Hammondia hammondi	NA	Human Pathogen VEuPathDB
Homo sapiens	human	Human Pathogen VEuPathDB
Ixodes scapularis	black-legged tick	Human Pathogen VEuPathDB
Leishmania amazonensis	NA	Human Pathogen VEuPathDB
Leishmania arabica	NA	Human Pathogen VEuPathDB
Leptotrombidium deliense	NA	Human Pathogen VEuPathDB
Leishmania enriettii	NA	Human Pathogen VEuPathDB
Leishmania gerbilli	NA	Human Pathogen VEuPathDB
Lutzomyia longipalpis	NA	Human Pathogen VEuPathDB
Lomentospora prolificans	NA	Human Pathogen VEuPathDB
Leptomonas pyrrhocoris	NA	Human Pathogen VEuPathDB
Leptomonas seymouri	NA	Human Pathogen VEuPathDB
Leishmania tarentolae	NA	Human Pathogen VEuPathDB
Leishmania turanica	NA	Human Pathogen VEuPathDB
Mitosporidium daphniae	NA	Human Pathogen VEuPathDB
Musca domestica	house fly	Human Pathogen VEuPathDB
Monocercomonoides exilis	NA	Human Pathogen VEuPathDB
Macaca mulatta	Rhesus monkey	Human Pathogen VEuPathDB
Mus musculus	house mouse	Human Pathogen VEuPathDB
Malassezia restricta	NA	Human Pathogen VEuPathDB
Naganishia albida	NA	Human Pathogen VEuPathDB
Nematocida ausubeli	NA	Human Pathogen VEuPathDB
Nematocida displodere	NA	Human Pathogen VEuPathDB
Naegleria fowleri	NA	Human Pathogen VEuPathDB
Naegleria lovaniensis	NA	Human Pathogen VEuPathDB
Plasmodium adleri	NA	Human Pathogen VEuPathDB
Plasmodium billcollinsi	NA	Human Pathogen VEuPathDB
