Species	Common	Category
Oryctolagus cuniculus	Rabbit	Domesticated Animal FAO
Oryza glaberrima	African rice	Domesticated Plant Khouri et al. 2016
Oryza sativa	Rice	Domesticated Plant Khouri et al. 2016
Ovis aries	Sheep	Domesticated Animal FAO
Pangasius spp	Pangas catfishes nei	Domesticated Aquaculture FAO
Papaver somniferum	Opium Poppy	Domesticated Plant Khouri et al. 2016
Paspalum notatum	"c(""Bahia grass"", ""bahiagrass"")"	Domesticated Plant GRIN Lawn
Paspalum vaginatum	seashore paspalum	Domesticated Plant GRIN Lawn
Paullinia cupana	guarana	Domesticated Plant GRIN Food
Paullinia yoco	yoco	Domesticated Plant GRIN Food
Penaeus monodon	Giant tiger prawn	Domesticated Aquaculture FAO
Penaeus vannamei	Whiteleg shrimp	Domesticated Aquaculture FAO
Pennisetum glaucum	Eleusine coracana	Domesticated Plant Khouri et al. 2016
Persea americana	Avocados	Domesticated Plant Khouri et al. 2016
Phaseolus	Beans	Domesticated Plant Khouri et al. 2016
Phoenix dactylifera	Date palm	Domesticated Plant Khouri et al. 2016
Phyla canescens	"c(""hairy fogfruit"", ""hairy frogfruit"", ""carpet-grass"")"	Domesticated Plant GRIN Lawn
Phyllostachys edulis	Bamboo shoot	Domesticated Plant Vegetable Wikipedia
Pimenta dioica	Pimento	Domesticated Plant Khouri et al. 2016
Pimpinella anisum	Anise	Domesticated Plant Khouri et al. 2016
Piper methysticum	kava	Domesticated Plant GRIN Food
Piper nigrum	Pepper	Domesticated Plant Khouri et al. 2016
Pistacia atlantica	Mt. Atlas mastic tree	Domesticated Plant GRIN Food
Pistacia chinensis	Chinese pistache	Domesticated Plant GRIN Food
Pistacia terebinthus	Cyprus turpentine	Domesticated Plant GRIN Food
Pistacia vera	Pistachios	Domesticated Plant Khouri et al. 2016
Pisum sativum	Peas	Domesticated Plant Khouri et al. 2016
Poa annua	"c(""annual blue grass"", ""walkgrass"", ""annual bluegrass"")"	Domesticated Plant GRIN Lawn
Poa arachnifera	Texas bluegrass	Domesticated Plant GRIN Lawn
Poa compressa	"c(""flat-stem blue grass"", ""Canada bluegrass"")"	Domesticated Plant GRIN Lawn
Poa nemoralis	"c(""forest blue grass"", ""wood bluegrass"")"	Domesticated Plant GRIN Lawn
Poa pratensis	Kentucky bluegrass	Domesticated Plant GRIN Lawn
Poa supina	bluegrass	Domesticated Plant GRIN Lawn
Poa trivialis	rough bluegrass	Domesticated Plant GRIN Lawn
Poecilia reticulata	"Guppy (Poecilia reticulata);[47]Cauca (P. caucana), Amazon (P. formosa), sailfin (P. latipinna), shortfin (P. mexicana), liberty (P. salvatoris), common (P. sphenops), and Yucatan mollies (P. velifera); Endler's livebearer (P. wingei)"	Domesticated Animal Wikipedia
Pogostemon cablin	patchouli	Domesticated Plant Student
Porphyra tenera	Nori	Domesticated Aquaculture FAO
Procambarus clarkii	Red swamp crawfish	Domesticated Aquaculture FAO
Proso millet	Panicum mileaceum	Domesticated Plant Khouri et al. 2016
Prunus armeniaca	Apricots	Domesticated Plant Khouri et al. 2016
Prunus avium	Cherries	Domesticated Plant Khouri et al. 2016
Prunus domestica	Plums	Domesticated Plant Khouri et al. 2016
Prunus dulcis	Almonds	Domesticated Plant Khouri et al. 2016
Prunus persica	Peaches & nectarines	Domesticated Plant Khouri et al. 2016
Prunus salicina	Japanese plum	Domesticated Plant Khouri et al. 2016
Psidium guajava	Guavas	Domesticated Plant Khouri et al. 2016
Psoralea esculenta	Prairie turnip	Domesticated Plant Vegetable Wikipedia
Puccinellia distans	"c(""spreading alkali grass"", ""weeping alkaligrass"", ""European alkaligrass"")"	Domesticated Plant GRIN Lawn
Punica granatum	pomegranate	Domesticated Plant GRIN Food
